Fish,MorphSex,PreSize_mm,PostSize_mm,Tank,Population,FoodCondition,Shelf Location,TotalTime_s,Day1_Chase,Day1_Chase_s,Day1_ParallelSwim_I,Day1_ParallelSwim_I_s,Day1_TransverseApproach,Day1_AttemptedCopulation,Day1_SexDisp_Cwrap,Day1_SexDisp_FrontShimmy,Day1_Nip,Day1_Charge,Day1_Stay,Day1_Backup,Day1_Retreat,Day1_Glide,Day1_Dart,Day1_ParallelSwim_R,Day1_ParallelSwim_R_s,Day1_Refuge,Day1_Refuge_s,Day1_OutofFrame,Day1_OutofFrame_s,Day14_Chase,Day14_Chase_s,Day14_ParallelSwim_I,Day14_ParallelSwim_I_s,Day14_TransverseApproach,Day14_AttemptedCopulation,Day14_SexDisp_Cwrap,Day14_SexDisp_FrontShimmy,Day14_Nip,Day14_Charge,Day14_Stay,Day14_Backup,Day14_Retreat,Day14_Glide,Day14_Dart,Day14_ParallelSwim_R,Day14_ParallelSwim_R_s,Day14_Refuge,Day14_Refuge_s,Day14_OutofFrame,Day14_OutofFrame_s
Clairesse,F,25.01,26.33,CampHalfBlood,F+OM,Food,Top,1199,0,0,1,3.504,1,0,0,0,0,0,19,4,1,1,20,2,4.865,32,415.863,14,359.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1199
Nico,OM,34.14,35.03,CampHalfBlood,F+OM,Food,Top,1199,1,1.754,4,8.267,14,0,9,16,0,0,3,0,0,0,0,1,3.004,34,773.692,10,104.118,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,43,391.665,25,268.185
Percy,OM,26.97,27.45,CampHalfBlood,F+OM,Food,Top,1199,0,0,1,1.75,6,0,1,3,0,0,3,0,1,0,5,2,3.502,22,412.565,15,485.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1199
Toph,F,20.4,21.54,Appa,F+SM,Food,Bottom,1199,0,0,0,0,6,0,0,0,13,13,18,3,0,0,11,0,0,0,0,8,742.507,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,250.578,4,194.173
Katara,F,30.65,29.02,Appa,F+SM,Food,Bottom,1199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,44.359,9,970.214,0,0,4,3.252,5,0,0,0,0,0,3,0,0,0,0,1,1.501,130,199.936,151,678.657
Sokka,SM,25.57,25.39,Appa,F+SM,Food,Bottom,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21.265,8,1116.418,0,0,1,1.75,3,0,0,0,0,0,6,1,0,0,5,4,2.999,73,445.543,73,281.328
Aang,SM,20.1,dead,Appa,F+SM,Food,Bottom,1199,0,0,0,0,2,4,0,5,2,0,16,2,0,0,13,0,0,3,479.073,3,22.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheDoctor,F,27.94,28.3,TARDIS,F+SM,NoFood,Top,1199,14,33.803,1,1.5,2,0,0,2,3,4,2,2,0,0,1,0,0,13,390.443,23,349.035,0,0,0,0,1,0,0,3,0,0,2,0,0,0,1,0,0,8,182.702,6,583.311
RoseTyler,F,22.21,22.99,TARDIS,F+SM,NoFood,Top,1199,1,1.499,0,0,1,0,0,0,1,0,10,3,6,1,24,1,1.25,17,216.953,19,353.784,0,0,0,0,0,0,0,0,0,0,8,3,2,0,9,0,0,10,97.747,26,720.485
MickeySmith,SM,20.44,21.56,TARDIS,F+SM,NoFood,Top,1199,0,0,0,0,1,0,0,0,0,0,1,3,0,0,10,0,0,5,36.651,11,966.273,1,3.503,0,0,2,1,0,5,0,0,4,2,0,0,0,0,0,13,595.12,0,0
CaptainJackHarkness,SM,23.96,dead,TARDIS,F+SM,NoFood,Top,1199,0,0,0,0,2,3,0,2,0,0,4,7,1,0,14,0,0,11,469.944,8,94.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
